start	end	min_rate	max_rate
2135000	2170000	9.20E-05	0.000100113
2142000	2177000	0.000152412	0.000163197
2149000	2184000	0.000167411	0.000179089
2156000	2191000	0.00016337	0.00017508
2163000	2198000	0.000120453	0.000125234
2170000	2205000	0.000120453	0.000125221
2177000	2212000	6.00E-05	6.21E-05
2184000	2219000	5.89E-05	6.03E-05
2191000	2226000	6.00E-05	6.11E-05
2198000	2233000	6.02E-05	6.12E-05
2205000	2240000	7.42E-05	7.53E-05
2212000	2247000	7.55E-05	7.66E-05
2219000	2254000	7.65E-05	7.84E-05
2226000	2261000	0.00010588	0.000108277
2233000	2268000	9.07E-05	9.29E-05
2240000	2275000	6.16E-05	6.36E-05
2247000	2282000	6.04E-05	6.24E-05
2254000	2289000	7.06E-05	7.28E-05
2261000	2296000	6.00E-05	6.28E-05
2268000	2303000	9.03E-05	9.38E-05
2275000	2310000	0.000118957	0.000123229
2282000	2317000	0.000135294	0.000139816
2289000	2324000	0.000110126	0.000113486
2296000	2331000	9.03E-05	9.28E-05
2303000	2338000	9.00E-05	9.22E-05
2310000	2345000	0.000121332	0.000126599
2317000	2352000	0.0001068	0.000111843
2324000	2359000	0.000179992	0.000187655
2331000	2366000	0.000194991	0.000203389
2338000	2373000	0.000192858	0.000201983
2345000	2380000	0.000196029	0.000210591
2352000	2387000	0.000237805	0.00026255
2359000	2394000	0.000214204	0.000244393
2366000	2401000	0.000226107	0.000259046
2373000	2408000	0.000257213	0.000302412
2380000	2415000	0.000285017	0.000330028
2387000	2422000	0.000338085	0.000393925
2394000	2429000	0.000333492	0.000382463
2401000	2436000	0.000297626	0.000342449
2408000	2443000	0.000277616	0.00031089
2415000	2450000	0.000186643	0.000210866
2422000	2457000	0.000119995	0.000125999
2429000	2464000	9.00E-05	9.49E-05
2436000	2471000	0.000113958	0.000120106
2443000	2478000	7.50E-05	7.93E-05
2450000	2485000	0.000112685	0.000118055
2457000	2492000	0.000119873	0.000125403
2464000	2499000	0.000107956	0.000113626
2471000	2506000	0.000143387	0.000154862
2478000	2513000	0.000201746	0.000216377
2485000	2520000	0.000187771	0.000203197
2492000	2527000	0.000188746	0.000204405
2499000	2534000	0.000207499	0.000224047
2506000	2541000	0.00014207	0.000151438
2513000	2548000	0.000129029	0.000137286
2520000	2555000	0.000120314	0.000127279
2527000	2562000	8.22E-05	8.59E-05
2534000	2569000	0.000125089	0.000131359
2541000	2576000	0.000164363	0.000172735
2548000	2583000	0.000149993	0.00015844
2555000	2590000	0.000194991	0.000205636
2562000	2597000	0.000235581	0.000248041
2569000	2604000	0.000220215	0.000231476
2576000	2611000	0.000180942	0.0001901
2583000	2618000	0.000149993	0.000157032
2590000	2625000	0.000134994	0.000146535
2597000	2632000	0.000139402	0.00015192
2604000	2639000	0.000119995	0.000132975
2611000	2646000	0.000122793	0.000135877
2618000	2653000	0.000158275	0.000179696
2625000	2660000	0.000155217	0.000177287
2632000	2667000	0.000164993	0.000194367
2639000	2674000	0.000149993	0.000176995
2646000	2681000	0.000162195	0.000189316
2653000	2688000	0.000156711	0.000177758
2660000	2695000	0.00012977	0.000143467
2667000	2702000	9.00E-05	9.42E-05
2674000	2709000	8.13E-05	8.53E-05
2681000	2716000	0.000114791	0.000121442
2688000	2723000	0.000120319	0.000125772
2695000	2730000	0.000227299	0.000247383
2702000	2737000	0.000233754	0.00025405
2709000	2744000	0.000260929	0.000284022
2716000	2751000	0.000230846	0.000251715
2723000	2758000	0.000199475	0.00021937
2730000	2765000	0.000172225	0.000191792
2737000	2772000	0.000244703	0.000282239
2744000	2779000	0.000321928	0.000375953
2751000	2786000	0.000348483	0.000404976
2758000	2793000	0.000359328	0.000416286
2765000	2800000	0.000269915	0.000312258
2772000	2807000	0.000216122	0.000240984
2779000	2814000	0.000162461	0.000169144
2786000	2821000	0.000141165	0.000145914
2793000	2828000	0.000135631	0.000140229
2800000	2835000	0.000230153	0.000248739
2807000	2842000	0.000339131	0.00037399
2814000	2849000	0.000302948	0.000337459
2821000	2856000	0.000279245	0.000312571
2828000	2863000	0.00028478	0.000317908
2835000	2870000	0.000220751	0.000241776
2842000	2877000	9.63E-05	0.00010169
2849000	2884000	0.000128686	0.000137902
2856000	2891000	0.000168192	0.000180141
2863000	2898000	0.000184791	0.000199069
2870000	2905000	0.00014898	0.000161131
2877000	2912000	0.000139311	0.000150037
2884000	2919000	0.0001761	0.000191695
2891000	2926000	0.000166821	0.000180356
2898000	2933000	0.000187308	0.000202897
2905000	2940000	0.00019522	0.00021128
2912000	2947000	0.000255218	0.00027824
2919000	2954000	0.000165222	0.000178478
2926000	2961000	0.000149993	0.000162939
2933000	2968000	0.000165525	0.000176978
2940000	2975000	0.000202611	0.000215525
2947000	2982000	0.000157613	0.00016402
2954000	2989000	0.000200373	0.000208079
2961000	2996000	0.00023261	0.000242391
2968000	3003000	0.000194991	0.000204106
2975000	3010000	0.000150279	0.000157473
2982000	3017000	0.000179051	0.000189334
2989000	3024000	0.000172211	0.000181789
2996000	3031000	0.000155159	0.000162968
3003000	3038000	0.000224495	0.000269516
3010000	3045000	0.000377852	0.000450759
3017000	3052000	0.000324018	0.000392997
3024000	3059000	0.000387595	0.00049265
3031000	3066000	0.000438669	0.000560566
3038000	3073000	0.00040803	0.000498641
3045000	3080000	0.000276752	0.000340393
3052000	3087000	0.000316815	0.000384357
3059000	3094000	0.000264936	0.000314261
3066000	3101000	0.000316831	0.000407978
3073000	3108000	0.000286501	0.000384408
3080000	3115000	0.00029232	0.00039914
3087000	3122000	0.000283359	0.000399942
3094000	3129000	0.000264183	0.000372614
3101000	3136000	0.000190667	0.000243388
3108000	3143000	0.0001823	0.000223114
3115000	3150000	0.000165182	0.000196634
3122000	3157000	0.000170326	0.000191331
3129000	3164000	0.000179633	0.000193132
3136000	3171000	0.000168192	0.000183074
3143000	3178000	0.000138193	0.000149861
3150000	3185000	0.000265719	0.000290425
3157000	3192000	0.00024752	0.000270536
3164000	3199000	0.000232751	0.000255123
3171000	3206000	0.000204039	0.000223193
3178000	3213000	0.000236613	0.000256666
3185000	3220000	0.000130594	0.000138872
3192000	3227000	0.00015424	0.000163311
3199000	3234000	0.000191256	0.000201264
3206000	3241000	0.000229235	0.000241768
3213000	3248000	0.000214423	0.000227775
3220000	3255000	0.000241847	0.000260109
3227000	3262000	0.00019522	0.000210986
3234000	3269000	0.000165222	0.000179349
3241000	3276000	0.000152756	0.000166159
3248000	3283000	0.000164993	0.000177583
3255000	3290000	0.000135835	0.000143421
3262000	3297000	0.000179992	0.000190543
3269000	3304000	0.000164993	0.000174741
3276000	3311000	0.000209991	0.000228131
3283000	3318000	0.000225277	0.000247061
3290000	3325000	0.000194437	0.000214577
3297000	3332000	0.000186925	0.000206354
3304000	3339000	0.000195279	0.000215755
3311000	3346000	0.000135281	0.000144417
3318000	3353000	0.000254653	0.00030611
3325000	3360000	0.00037172	0.000448338
3332000	3367000	0.000335076	0.000409438
3339000	3374000	0.000326722	0.000399949
3346000	3381000	0.000296724	0.000369312
3353000	3388000	0.000133146	0.000158922
3360000	3395000	2.23E-05	2.32E-05
3367000	3402000	2.84E-05	2.97E-05
3374000	3409000	8.31E-05	8.97E-05
3381000	3416000	9.00E-05	9.70E-05
3388000	3423000	0.000133834	0.000143544
3395000	3430000	0.000172734	0.000183956
3402000	3437000	0.000196554	0.000208476
3409000	3444000	0.000158484	0.000167386
3416000	3451000	0.000215995	0.000234196
3423000	3458000	0.000221975	0.000248471
3430000	3465000	0.000224523	0.000254038
3437000	3472000	0.000199715	0.000228605
3444000	3479000	0.000232081	0.000270513
3451000	3486000	0.000211406	0.000245013
3458000	3493000	0.000163139	0.000185849
3465000	3500000	0.000117108	0.000135037
3472000	3507000	0.000126915	0.000144644
3479000	3514000	6.30E-05	6.83E-05
3486000	3521000	4.92E-05	5.10E-05
3493000	3528000	0.00010979	0.000117658
3500000	3535000	0.000218704	0.000239189
3507000	3542000	0.000230146	0.000252956
3514000	3549000	0.00023281	0.000255859
3521000	3556000	0.000264235	0.000303202
3528000	3563000	0.000221245	0.000254305
3535000	3570000	0.000180525	0.000210495
3542000	3577000	0.000184082	0.000214274
3549000	3584000	0.000244406	0.00028166
3556000	3591000	0.000231655	0.000260805
3563000	3598000	0.000241446	0.000271542
3570000	3605000	0.000201834	0.00022301
3577000	3612000	0.000171836	0.000190254
3584000	3619000	0.000153846	0.000166983
3591000	3626000	0.000131569	0.000137382
3598000	3633000	0.000134719	0.000141326
3605000	3640000	0.000134994	0.0001417
3612000	3647000	0.000134994	0.0001417
3619000	3654000	0.000234186	0.000279358
3626000	3661000	0.000270597	0.00032001
3633000	3668000	0.000286737	0.000337864
3640000	3675000	0.000282984	0.000335109
3647000	3682000	0.000301283	0.000353773
3654000	3689000	0.000202092	0.000217147
3661000	3696000	0.000201674	0.000219051
3668000	3703000	0.000167384	0.000181667
3675000	3710000	0.000175121	0.000189309
3682000	3717000	0.00018842	0.000204783
3689000	3724000	0.000158421	0.000171943
3696000	3731000	0.000127631	0.000135264
3703000	3738000	0.000112632	0.000119619
3710000	3745000	9.48E-05	0.000102065
3717000	3752000	0.000111793	0.000123823
3724000	3759000	0.000156791	0.000177525
3731000	3766000	0.000155191	0.000174395
3738000	3773000	0.00020322	0.000226475
3745000	3780000	0.000201789	0.000223709
3752000	3787000	0.000232334	0.000254795
3759000	3794000	0.000195938	0.000211667
3766000	3801000	0.000206547	0.000225608
3773000	3808000	0.000207969	0.000227927
3780000	3815000	0.000231024	0.000254337
3787000	3822000	0.000168481	0.000185937
3794000	3829000	0.000189878	0.000209637
3801000	3836000	0.000179498	0.000195236
3808000	3843000	0.000163245	0.000179915
3815000	3850000	0.000140022	0.000157495
3822000	3857000	0.000123423	0.000143655
3829000	3864000	7.84E-05	9.89E-05
3836000	3871000	0.000108194	0.000133862
3843000	3878000	9.01E-05	0.000110462
3850000	3885000	0.000156313	0.000172978
3857000	3892000	0.00025155	0.000269298
3864000	3899000	0.000314847	0.000329557
3871000	3906000	0.000276308	0.000286422
3878000	3913000	0.000322532	0.000335134
3885000	3920000	0.000273495	0.000287228
3892000	3927000	0.00023021	0.00024363
3899000	3934000	0.000175025	0.000187288
3906000	3941000	0.000178273	0.000193826
3913000	3948000	0.000141372	0.000155118
3920000	3955000	0.00013868	0.000151647
3927000	3962000	0.00011282	0.000121372
3934000	3969000	0.000124769	0.000133492
3941000	3976000	0.000301644	0.000376107
3948000	3983000	0.000277203	0.000350426
3955000	3990000	0.000301934	0.000385476
3962000	3997000	0.000290842	0.000373933
3969000	4004000	0.000270781	0.000353155
3976000	4011000	9.92E-05	0.00011284
3983000	4018000	9.92E-05	0.00011284
3990000	4025000	4.50E-05	4.68E-05
3997000	4032000	6.16E-05	6.56E-05
4004000	4039000	8.85E-05	9.46E-05
4011000	4046000	0.00010905	0.000117005
4018000	4053000	0.000222062	0.000266113
4025000	4060000	0.000376229	0.000442708
4032000	4067000	0.000344631	0.000408312
4039000	4074000	0.000364734	0.000439602
4046000	4081000	0.000356665	0.000443263
4053000	4088000	0.0002856	0.000351166
4060000	4095000	0.00017928	0.000238034
4067000	4102000	0.00023781	0.000314345
4074000	4109000	0.000255873	0.000338844
4081000	4116000	0.000231024	0.000300108
4088000	4123000	0.000231417	0.000286605
4095000	4130000	0.000258566	0.00030222
4102000	4137000	0.000245034	0.000272926
4109000	4144000	0.000194991	0.000203377
4116000	4151000	0.000222331	0.000232464
4123000	4158000	0.0002408	0.000254655
4130000	4165000	0.000165803	0.000175578
4137000	4172000	0.000184022	0.000196017
4144000	4179000	0.000281593	0.00034469
4151000	4186000	0.000366024	0.000466472
4158000	4193000	0.000332309	0.000428737
4165000	4200000	0.000414357	0.000516935
4172000	4207000	0.00036614	0.000464588
4179000	4214000	0.000294636	0.000345442
4186000	4221000	0.000213199	0.000228125
4193000	4228000	0.000202043	0.000216799
4200000	4235000	0.000119995	0.000128602
4207000	4242000	0.000106951	0.000115554
4214000	4249000	0.000168653	0.000197646
4221000	4256000	0.000234742	0.000295855
4228000	4263000	0.000262723	0.000325091
4235000	4270000	0.000340943	0.000411028
4242000	4277000	0.000466599	0.000599201
4249000	4284000	0.00048972	0.000653365
4256000	4291000	0.000487323	0.000658974
4263000	4298000	0.000484052	0.000663397
4270000	4305000	0.000462284	0.000647142
4277000	4312000	0.000376573	0.000508041
4284000	4319000	0.000270204	0.000350224
4291000	4326000	0.000238454	0.000295053
4298000	4333000	0.000315039	0.000391109
4305000	4340000	0.000282069	0.000349048
4312000	4347000	0.000352973	0.000433585
4319000	4354000	0.000438401	0.000530964
4326000	4361000	0.000403644	0.000476846
4333000	4368000	0.000414106	0.000526071
4340000	4375000	0.000614416	0.000828912
4347000	4382000	0.000549876	0.00074452
4354000	4389000	0.000477223	0.000659889
4361000	4396000	0.000447046	0.000628881
4368000	4403000	0.000355388	0.000470802
4375000	4410000	0.000155558	0.000165245
4382000	4417000	0.000170931	0.000187978
4389000	4424000	0.000138635	0.00015206
4396000	4431000	0.000153864	0.000166968
4403000	4438000	0.000162826	0.00017694
4410000	4445000	0.000217029	0.000239989
4417000	4452000	0.000153391	0.000165977
4424000	4459000	0.000179934	0.000193595
4431000	4466000	0.000173719	0.000190522
4438000	4473000	0.000149898	0.000166897
4445000	4480000	7.63E-05	8.41E-05
4452000	4487000	0.000129573	0.00014883
4459000	4494000	0.000143428	0.000163165
4466000	4501000	0.000169012	0.000186984
4473000	4508000	0.000196671	0.00021886
4480000	4515000	0.000207092	0.000229293
4487000	4522000	0.000215427	0.000231616
4494000	4529000	0.000190029	0.000204878
4501000	4536000	0.000215427	0.000231474
4508000	4543000	0.000217283	0.000230597
4515000	4550000	0.000241589	0.000257175
4522000	4557000	0.000209794	0.000220661
4529000	4564000	0.000194991	0.000205646
4536000	4571000	0.000134994	0.000143396
4543000	4578000	8.43E-05	8.86E-05
4550000	4585000	6.00E-05	6.16E-05
4557000	4592000	4.52E-05	4.67E-05
4564000	4599000	4.50E-05	4.65E-05
4571000	4606000	4.50E-05	4.74E-05
4578000	4613000	4.50E-05	5.24E-05
4585000	4620000	3.00E-05	4.21E-05
4592000	4627000	2.41E-05	3.99E-05
4599000	4634000	0.000105704	0.000145332
4606000	4641000	9.22E-05	0.000130352
4613000	4648000	0.000123675	0.000159637
4620000	4655000	0.00015516	0.000188372
4627000	4662000	0.00016255	0.000193086
4634000	4669000	0.000137133	0.000156913
4641000	4676000	0.000175416	0.000205035
4648000	4683000	0.000183521	0.000221193
4655000	4690000	0.000166022	0.00020455
4662000	4697000	0.000196928	0.000246838
4669000	4704000	0.000214886	0.000270291
4676000	4711000	0.000220899	0.000268408
4683000	4718000	0.000241484	0.000280398
4690000	4725000	0.000272496	0.000311092
4697000	4732000	0.000255104	0.000282932
4704000	4739000	0.000195953	0.000205732
4711000	4746000	0.000168983	0.000178396
4718000	4753000	0.000120181	0.000128237
4725000	4760000	0.000117559	0.000127164
4732000	4767000	0.000159656	0.000171936
4739000	4774000	0.000164993	0.000177854
4746000	4781000	0.000146181	0.000157399
4753000	4788000	0.000151406	0.000163732
4760000	4795000	0.000142424	0.000153332
4767000	4802000	0.000113531	0.000125477
4774000	4809000	0.000120355	0.000132173
4781000	4816000	0.000138193	0.000150308
4788000	4823000	0.000166592	0.000179279
4795000	4830000	0.000148199	0.000158635
4802000	4837000	0.000134994	0.000140962
4809000	4844000	0.000122833	0.000127996
4816000	4851000	0.000152641	0.000161258
4823000	4858000	0.00015388	0.000167208
4830000	4865000	0.000197592	0.000221564
4837000	4872000	0.000175278	0.000198705
4844000	4879000	0.000213012	0.000238599
4851000	4886000	0.000187629	0.000210546
4858000	4893000	0.000247513	0.000307245
4865000	4900000	0.000267768	0.000322278
4872000	4907000	0.000289613	0.000344867
4879000	4914000	0.000264405	0.000321214
4886000	4921000	0.000290572	0.000354191
4893000	4928000	0.000198491	0.000218554
4900000	4935000	0.000149524	0.000164558
4907000	4942000	0.000180705	0.000201199
4914000	4949000	0.000198178	0.000222296
4921000	4956000	0.000149747	0.000165975
4928000	4963000	0.000165935	0.000182313
4935000	4970000	0.00019736	0.00022999
4942000	4977000	0.000185798	0.00021444
